show_id,show_name,season_number,name,air_date,episode_count,season_poster_url
39416,Geordie Shore,16,Season 16,2018-01-09,10,https://image.tmdb.org/t/p/w342/vpY9bbz9h6XOccAYulG1xkRlHP8.jpg
39416,Geordie Shore,17,Season 17,2018-05-15,12,https://image.tmdb.org/t/p/w342/zYfTcHl0ZnFGB44FXTqCAljhspz.jpg
39416,Geordie Shore,18,Season 18,2018-10-16,10,https://image.tmdb.org/t/p/w342/sU0yNp5YUOit4LsYPM2xhPUGdS9.jpg
39416,Geordie Shore,19,Season 19,2019-04-09,10,https://image.tmdb.org/t/p/w342/c2RZALcemtDhFcGin4xOdqX0p5h.jpg
39416,Geordie Shore,20,Season 20,2019-10-29,10,https://image.tmdb.org/t/p/w342/iFCPMnwCnXIMBoQKsNQ96MZyif8.jpg
39416,Geordie Shore,21,Season 21,2020-07-28,8,https://image.tmdb.org/t/p/w342/jv9GEmB4cElpTvLoPaCBmz5XCng.jpg
39416,Geordie Shore,22,Hot Single Summer,2021-10-04,10,https://image.tmdb.org/t/p/w342/bG3EudErhY4FmIu9uV8u0R2h2Xu.jpg
39416,Geordie Shore,23,The Reunion Series,2022-09-20,10,https://image.tmdb.org/t/p/w342/7iYqRrmU9bkhrgxzWfSev9O7XVe.jpg
39416,Geordie Shore,24,Season 24,2024-01-09,10,https://image.tmdb.org/t/p/w342/7lmy3PUQ030u6PvIFdScXy5p6hI.jpg
39416,Geordie Shore,25,Season 25,2025-01-07,10,https://image.tmdb.org/t/p/w342/wIejP20xVqiASjr9eKVzkj763PG.jpg
253896,Happy's Place,1,Season 1,2024-10-18,18,https://image.tmdb.org/t/p/w342/stOjdi0LW7VxOL32WG3HLbauy6L.jpg
253896,Happy's Place,2,Season 2,2025-11-07,2,
124834,Heartstopper,1,Season 1,2022-04-22,8,https://image.tmdb.org/t/p/w342/6WULLvLZYQX3xNfs5S9H6BVFdgD.jpg
124834,Heartstopper,2,Season 2,2023-08-03,8,https://image.tmdb.org/t/p/w342/p0AtD0ivSlHq2MHY6JFgyhNqAQY.jpg
124834,Heartstopper,3,Season 3,2024-10-03,8,https://image.tmdb.org/t/p/w342/fBbhBvFEVgVxWrBbOJDzDjcVXM4.jpg
226637,High Potential,1,Season 1,2024-09-17,13,https://image.tmdb.org/t/p/w342/ylTZ6bfmPrwUz01A0VpvluGFWsv.jpg
226637,High Potential,2,Season 2,2025-09-16,4,https://image.tmdb.org/t/p/w342/lMYflruVeOfnWiX4LwoQuOJNLHz.jpg
549,Law & Order,0,Specials,,7,https://image.tmdb.org/t/p/w342/vVUVEqs0KwplqHvv2GyCj2tpMSr.jpg
549,Law & Order,1,Season 1,1990-09-13,22,https://image.tmdb.org/t/p/w342/hGrkBU5p60zZj9bMByo9cegZfhl.jpg
549,Law & Order,2,Season 2,1991-09-16,22,https://image.tmdb.org/t/p/w342/nykyEGoMsVPnyrnoUL0g93YJPQZ.jpg
549,Law & Order,3,Season 3,1992-09-22,22,https://image.tmdb.org/t/p/w342/emKji2D1tLAJsFad84ENA4PufI5.jpg
549,Law & Order,4,Season 4,1993-09-15,22,https://image.tmdb.org/t/p/w342/fiSP98l9G7zjC0sBWwQ02Nmhpub.jpg
549,Law & Order,5,Season 5,1994-09-21,23,https://image.tmdb.org/t/p/w342/v8yqfobOp6jSDomgcOnotfsGM2i.jpg
549,Law & Order,6,Season 6,1995-09-20,23,https://image.tmdb.org/t/p/w342/5GaJYO3BXCUaHKXr9e7wC1IARwo.jpg
549,Law & Order,7,Season 7,1996-09-18,23,https://image.tmdb.org/t/p/w342/mEGBAiPkZcp4GgPv7CQmFhOEWrK.jpg
549,Law & Order,8,Season 8,1997-09-24,24,https://image.tmdb.org/t/p/w342/caieRmySO32CyyoPydhxGh7iN33.jpg
549,Law & Order,9,Season 9,1998-09-23,24,https://image.tmdb.org/t/p/w342/OuntFFHJqftivArTHjnFu1jSPM.jpg
549,Law & Order,10,Season 10,1999-09-22,24,https://image.tmdb.org/t/p/w342/fnYm6dcs1bmYvl3afnGxofsVgyw.jpg
549,Law & Order,11,Season 11,2000-10-17,24,https://image.tmdb.org/t/p/w342/u5MyTy53EWtnsMQewECGfNDywme.jpg
549,Law & Order,12,Season 12,2001-09-25,24,https://image.tmdb.org/t/p/w342/xAazzYBfFquWWqes5dozpQ0x4jW.jpg
549,Law & Order,13,Season 13,2002-10-01,24,https://image.tmdb.org/t/p/w342/2DzgIJzKVY9OfYxRMJjJLIZRhfi.jpg
549,Law & Order,14,Season 14,2003-09-23,24,https://image.tmdb.org/t/p/w342/26ByCQKroHuBs7ZgbkwHTsHvU77.jpg
549,Law & Order,15,Season 15,2004-09-21,24,https://image.tmdb.org/t/p/w342/z07aBZ5euhdhl0hyzWhwU1mGsrN.jpg
549,Law & Order,16,Season 16,2005-09-20,22,https://image.tmdb.org/t/p/w342/vo1hHZ1Bpt7XOYDqab7rqw5VTZL.jpg
549,Law & Order,17,Season 17,2006-09-21,22,https://image.tmdb.org/t/p/w342/zjSZrjqz9f3n6XoPYpaIgzwDQT3.jpg
549,Law & Order,18,Season 18,2008-01-01,18,https://image.tmdb.org/t/p/w342/q0nVi8xzk7DHpeFnQ678f8asYxC.jpg
549,Law & Order,19,Season 19,2008-11-04,22,https://image.tmdb.org/t/p/w342/fIIoj3EzsHcgF9Yd0ISWKinmLX8.jpg
549,Law & Order,20,Season 20,2009-09-24,23,https://image.tmdb.org/t/p/w342/yoISWagCsb16Hnoi16Ot1nur2FV.jpg
549,Law & Order,21,Season 21,2022-02-23,10,https://image.tmdb.org/t/p/w342/l7qr5Q5iJXeja9iDmdXagoUZ0Vm.jpg
549,Law & Order,22,Season 22,2022-09-22,22,https://image.tmdb.org/t/p/w342/77OPlbsvX3pzoFbyfpcE3GXMCod.jpg
549,Law & Order,23,Season 23,2024-01-17,13,https://image.tmdb.org/t/p/w342/m9zTQr4TYS98UFSiA1k0mMfECPe.jpg
549,Law & Order,24,Season 24,2024-10-03,22,https://image.tmdb.org/t/p/w342/6vFL8S6Cci8s7SHWXz60xOisGBC.jpg
549,Law & Order,25,Season 25,2025-09-25,1,
90,Mayday,0,Specials,2004-06-26,59,https://image.tmdb.org/t/p/w342/bGc6mW2FjKmNVhYb9KF2HKQ1vGf.jpg
90,Mayday,1,Season 1,2003-09-03,6,https://image.tmdb.org/t/p/w342/oF4Z7159vBpSPglhETeKP6R41lL.jpg
90,Mayday,2,Season 2,2005-01-23,6,https://image.tmdb.org/t/p/w342/x4AdQgmt04QHcYhAfZ55i1WViBb.jpg
90,Mayday,3,Season 3,2005-09-14,13,https://image.tmdb.org/t/p/w342/2xPqKfDRVlg2WsOPycmEGZiXnOC.jpg
90,Mayday,4,Season 4,2007-04-15,10,https://image.tmdb.org/t/p/w342/jVecrv1JengYGW6cn8C06hMVymR.jpg
90,Mayday,5,Season 5,2008-04-09,10,https://image.tmdb.org/t/p/w342/A9aBuBAcddz5Zdl8gBSGTtvkYq1.jpg
90,Mayday,6,Season 6,2007-12-16,3,https://image.tmdb.org/t/p/w342/4NV9F8xIBsp1zC577FYuTlO58MD.jpg
90,Mayday,7,Season 7,2009-11-04,8,https://image.tmdb.org/t/p/w342/4jcb73bLhuzVDtypz4Gz4Bf895f.jpg
90,Mayday,8,Season 8,2009-06-10,2,https://image.tmdb.org/t/p/w342/3DBuW5Ak7yfdvxQZwQFvSmCz1cS.jpg
90,Mayday,9,Season 9,2010-09-08,8,https://image.tmdb.org/t/p/w342/tLRNEYQQdGjgDjWAyzju3CjeOBh.jpg
90,Mayday,10,Season 10,2011-02-28,6,https://image.tmdb.org/t/p/w342/1s1zGhEcrLs4fq2smVaUxymPas8.jpg
90,Mayday,11,Season 11,2011-08-12,13,https://image.tmdb.org/t/p/w342/kVwTr7GOY1KBjcJJTYFwciRmrsE.jpg
90,Mayday,12,Season 12,2012-08-03,13,https://image.tmdb.org/t/p/w342/fiFxbhv3jgik8nbptlf9yVNSYmg.jpg
90,Mayday,13,Season 13,2013-12-16,10,https://image.tmdb.org/t/p/w342/1aR5lIS1IPrE1VlnhPiaUenMJGR.jpg
90,Mayday,14,Season 14,2015-01-05,11,https://image.tmdb.org/t/p/w342/wfxI5mzChiy0DZoP78QlumwF02l.jpg
90,Mayday,15,Season 15,2016-01-02,10,https://image.tmdb.org/t/p/w342/j5KMJCfjkOnfms9unnfji9CnHsT.jpg
