show_id,show_name,season_number,name,air_date,episode_count
260471,Shifting Gears,1,Season 1,2025-01-08,10
260471,Shifting Gears,2,Season 2,2025-10-01,3
251941,St. Denis Medical,1,Season 1,2024-11-12,18
251941,St. Denis Medical,2,Season 2,2025-11-03,2
66732,Stranger Things,1,Season 1,2016-07-15,8
66732,Stranger Things,2,Stranger Things 2,2017-10-27,9
66732,Stranger Things,3,Stranger Things 3,2019-07-04,8
66732,Stranger Things,4,Stranger Things 4,2022-05-27,9
66732,Stranger Things,5,Stranger Things 5,2025-11-26,8
28172,The Boys,1,Season 1,1993-08-20,7
60603,The Curse of Oak Island,0,Specials,2015-11-10,47
60603,The Curse of Oak Island,1,Season 1,2014-01-05,5
60603,The Curse of Oak Island,2,Season 2,2014-11-04,10
60603,The Curse of Oak Island,3,Season 3,2015-11-10,13
60603,The Curse of Oak Island,4,Season 4,2016-11-15,16
60603,The Curse of Oak Island,5,Season 5,2017-11-06,18
60603,The Curse of Oak Island,6,Season 6,2018-11-12,22
60603,The Curse of Oak Island,7,Season 7,2019-11-04,23
60603,The Curse of Oak Island,8,Season 8,2020-11-10,25
60603,The Curse of Oak Island,9,Season 9,2021-11-02,25
60603,The Curse of Oak Island,10,Season 10,2022-11-15,25
60603,The Curse of Oak Island,11,Season 11,2023-11-07,25
60603,The Curse of Oak Island,12,Season 12,2024-11-12,25
60603,The Curse of Oak Island,13,Season 13,,0
60603,The Curse of Oak Island,14,Season 14,,0
222766,The Day of the Jackal,1,Series 1,2024-11-07,10
253372,The Institute,1,Season 1,2025-07-13,8
253372,The Institute,2,Season 2,,3
84773,The Lord of the Rings: The Rings of Power,0,Specials,2022-09-03,36
84773,The Lord of the Rings: The Rings of Power,1,Season 1,2022-09-01,8
84773,The Lord of the Rings: The Rings of Power,2,Season 2,2024-08-29,8
84773,The Lord of the Rings: The Rings of Power,3,Season 3,,0
84910,The Masked Singer,0,Specials,2019-09-14,2
84910,The Masked Singer,1,Season 1,2019-01-02,10
84910,The Masked Singer,2,Season 2,2019-09-25,13
84910,The Masked Singer,3,Season 3,2020-02-02,22
84910,The Masked Singer,4,Season 4,2020-09-23,13
84910,The Masked Singer,5,Season 5,2021-03-10,12
84910,The Masked Singer,6,Season 6,2021-09-22,15
84910,The Masked Singer,7,Season 7,2022-03-09,11
84910,The Masked Singer,8,Season 8,2022-09-21,12
84910,The Masked Singer,9,Season 9,2023-02-15,14
84910,The Masked Singer,10,Season 10,2023-09-10,13
84910,The Masked Singer,11,Season 11,2024-03-06,13
84910,The Masked Singer,12,Season 12,2024-09-25,12
84910,The Masked Singer,13,Season 13,2025-02-12,13
84910,The Masked Singer,14,Season 14,,0
129552,The Night Agent,1,Season 1,2023-03-22,10
129552,The Night Agent,2,Season 2,2025-01-23,10
129552,The Night Agent,3,Season 3,,0
101359,The Secret of Skinwalker Ranch,0,Specials,2024-05-07,19
101359,The Secret of Skinwalker Ranch,1,Season 1,2020-03-31,8
101359,The Secret of Skinwalker Ranch,2,Season 2,2021-05-04,10
101359,The Secret of Skinwalker Ranch,3,Season 3,2022-05-03,11
101359,The Secret of Skinwalker Ranch,4,Season 4,2023-04-18,15
101359,The Secret of Skinwalker Ranch,5,Season 5,2024-04-23,14
101359,The Secret of Skinwalker Ranch,6,Season 6,2025-06-03,14
70,This Hour Has 22 Minutes,0,Specials,1997-01-01,14
70,This Hour Has 22 Minutes,1,Season 1,1993-10-11,20
70,This Hour Has 22 Minutes,2,Season 2,,21
70,This Hour Has 22 Minutes,3,Season 3,1995-11-06,2
70,This Hour Has 22 Minutes,4,Season 4,1996-09-30,17
70,This Hour Has 22 Minutes,5,Season 5,,0
70,This Hour Has 22 Minutes,6,season 6,,7
70,This Hour Has 22 Minutes,7,Season 7,1999-10-11,10
70,This Hour Has 22 Minutes,8,Season 8,2000-10-16,13
70,This Hour Has 22 Minutes,9,Season 9,2002-03-22,4
70,This Hour Has 22 Minutes,10,Season 10,2002-10-08,21
70,This Hour Has 22 Minutes,11,Season 11,2003-10-10,18
70,This Hour Has 22 Minutes,12,Season 12,2004-09-24,11
70,This Hour Has 22 Minutes,13,Season 13,,0
70,This Hour Has 22 Minutes,14,Season 14,2006-10-03,18
70,This Hour Has 22 Minutes,15,Season 15,2007-10-02,1
70,This Hour Has 22 Minutes,16,Season 16,2008-09-30,19
70,This Hour Has 22 Minutes,17,Season 17,2009-09-28,14
70,This Hour Has 22 Minutes,18,Season 18,2010-09-21,10
70,This Hour Has 22 Minutes,19,Season 19,2011-09-13,21
70,This Hour Has 22 Minutes,20,Season 20,2012-09-18,22
70,This Hour Has 22 Minutes,21,Season 21,2013-10-08,20
70,This Hour Has 22 Minutes,22,Season 22,,0
70,This Hour Has 22 Minutes,23,Season 23,2015-10-06,23
70,This Hour Has 22 Minutes,24,Season 24,,22
70,This Hour Has 22 Minutes,25,Season 25,2017-09-26,22
70,This Hour Has 22 Minutes,26,Season 26,,20
70,This Hour Has 22 Minutes,27,Season 27,,19
70,This Hour Has 22 Minutes,28,Season 28,2020-10-06,19
70,This Hour Has 22 Minutes,29,Season 29,2021-09-14,24
70,This Hour Has 22 Minutes,30,Season 30,2022-09-13,24
70,This Hour Has 22 Minutes,31,Season 31,2023-09-19,24
70,This Hour Has 22 Minutes,32,Season 32,2024-09-17,27
211288,Tracker,1,Season 1,2024-02-11,13
211288,Tracker,2,Season 2,2024-10-13,20
211288,Tracker,3,Season 3,2025-10-19,2
117488,Yellowjackets,0,Specials,2022-07-19,3
117488,Yellowjackets,1,Season 1,2021-11-14,10
117488,Yellowjackets,2,Season 2,2023-03-26,9
117488,Yellowjackets,3,Season 3,2025-02-16,10
117488,Yellowjackets,4,Season 4,,0
